department;position;first_name;last_name;display_name;sex;birthdate;id_card;personal_email;personal_phone;iban;home_street;home_city;home_postal_code;home_country;work_street;work_city;work_postal_code;work_country;language;nationality;employment_type;division;picture
Legal;Privacy Officers;Oliver;Schmidt;Oliver Schmidt;Male;May 6, 1978;YZ789013;Oliver.Schmidt@inalogy.net; +39 32 45 55 890;ZZ90 QRST 1234 5678 9012 3458; Corso Vittorio Emanuele II 1; Milan;20121;Italy;Hodžovo námestie 2979/1;Bratislava;855 01;Slovakia;Italy;Italy;Part-time;;
Legal;Privacy Officers;Julia;Nowak;Julia Nowak;Female;December 31, 1983;AB234568;Julia.Nowak@inalogy.net; +31 6 78 90 1234;ZZ23 UVWX 3456 7890 1234 5680; Kalverstraat 123; Amsterdam;1011;Netherlands;Hodžovo námestie 2979/1;Bratislava;856 01;Slovakia;Netherlands;Netherlands;Part-time;;
Sales;Head of Sales ;Alexander;Fischer;Alexander Fischer;Male;September 20, 1996;CD890124;Alexander.Fischer@inalogy.net; +46 70 12 34 5678;ZZ45 YZAB 5678 9012 3456 7892; Kungsgatan 1; Gothenburg;41101;Sweden;Hodžovo námestie 2979/1;Bratislava;857 01;Slovakia;Sweden;Sweden;Employee;;
Sales;Sales Director ;Elena;Petrov;Elena Petrov;Female;February 8, 1977;EF345679;Elena.Petrov@inalogy.net; +351 91 23 45 678;ZZ67 CDEF 7890 1234 5678 9014; Praça do Comércio 1; Lisbon;1000;Portugal;Hodžovo námestie 2979/1;Bratislava;858 01;Slovakia;Portugal;Portugal;Employee;;
Sales;Sales Manager ;Lars;Johansson;Lars Johansson;Male;June 11, 1992;GH901235;Lars.Johansson@inalogy.net; +41 76 89 01 234;ZZ89 GHIJ 9012 3456 7890 1236; Paradeplatz 1; Zurich;8000;Switzerland;Hodžovo námestie 2979/1;Bratislava;859 01;Slovakia;Switzerland;Switzerland;Employee;;
Sales;Account Executive ;Sofia;Ivanova;Sofia Ivanova;Female;March 25, 1979;IJ456790;Sofia.Ivanova@inalogy.net; +32 478 90 12 34;ZZ01 KLMN 1234 5678 9012 3458; Grand Place; Brussels;1000;Belgium;Hodžovo námestie 2979/1;Bratislava;860 01;Slovakia;Belgium;Belgium;Employee;;
Sales;Sales Representative ;Matej;Novak;Matej Novak;Male;October 7, 1988;KL012346;Matej.Novak@inalogy.net; +43 66 12 34 567;ZZ23 OPQR 3456 7890 1234 5680; Stephansplatz 1; Vienna;1010;Austria;Hodžovo námestie 2979/1;Bratislava;861 01;Slovakia;Austria;Austria;Contractor;;
Sales;Sales Engineer ;Luca;Bianchi;Luca Bianchi;Male;January 15, 2000;MN678902;Luca.Bianchi@inalogy.net; +47 40 12 34 567;ZZ45 STUV 5678 9012 3456 7892; Karl Johans gate 1; Oslo;10;Norway;Hodžovo námestie 2979/1;Bratislava;862 01;Slovakia;Norway;Norway;Contractor;;
Sales;Business Development Representative ;Isabelle;Dupont;Isabelle Dupont;Female;July 4, 1993;OP234568;Isabelle.Dupont@inalogy.net; +45 28 12 34 56;ZZ67 WXYZ 7890 1234 5678 9014; Strøget 1; Copenhagen;1000;Denmark;Hodžovo námestie 2979/1;Bratislava;863 01;Slovakia;Denmark;Denmark;Employee;;
Sales;Inside Sales Representative ;Henrik;Andersen;Henrik Andersen;Male;April 29, 1985;QR890124;Henrik.Andersen@inalogy.net; +358 45 67 89 012;ZZ89 ABCD 9012 3456 7890 1236; Esplanadi 1; Helsinki;100;Finland;Hodžovo námestie 2979/1;Bratislava;864 01;Slovakia;Finland;Finland;Intern;;
Sales;Channel Sales Manager ;Barbora;Zábranská;Barbora Zábranská;Female;November 22, 1976;ST345679;Barbora.Zábranská@inalogy.net; +353 87 65 43 210;ZZ01 EFGH 1234 5678 9012 3458; O'Connell Street 1; Dublin;D01;Ireland;Hodžovo námestie 2979/1;Bratislava;865 01;Slovakia;Ireland;Ireland;Employee;;
Sales;Channel Sales Manager ;Camilla;Lindström;Camilla Lindström;Female;August 9, 1984;UV901235;Camilla.Lindström@inalogy.net; +30 69 87 65 4321;ZZ23 IJKL 3456 7890 1234 5680; Λεωφόρος Βασιλίσσης Σοφίας 1; Athens;101;Greece;Hodžovo námestie 2979/1;Bratislava;866 01;Slovakia;Greece;Greece;Part-time;;
Sales;Sales Operations Manager ;Tomáš;Jakubec;Tomáš Jakubec;Male;May 2, 1991;WX456790;Tomáš.Jakubec@inalogy.net; +48 56 78 90 123;ZZ45 MNOP 5678 9012 3456 7892; ul. Nowy Świat 1; Warsaw;00-001;Poland;Hodžovo námestie 2979/1;Bratislava;867 01;Slovakia;Poland;Poland;Employee;;
Sales;Sales Operations Manager ;Maximilian;Schmidt;Maximilian Schmidt;Male;December 16, 1977;YZ012346;Maximilian.Schmidt@inalogy.net; +420 72 34 56 789;ZZ67 QRST 7890 1234 5678 9014; Na Příkopě 1; Prague;10000;Czech Republic;Hodžovo námestie 2979/1;Bratislava;868 01;Slovakia;Czech Republic;Czech Republic;Contractor;;
Sales;Sales Enablement Specialist ;Lenka;Marušiaková;Lenka Marušiaková;Female;September 1, 1987;AB678902;Lenka.Marušiaková@inalogy.net; +36 20 12 34 567;ZZ89 UVWX 9012 3456 7890 1236; Andrássy út 1; Budapest;1011;Hungary;Hodžovo námestie 2979/1;Bratislava;869 01;Slovakia;Hungary;Hungary;Contractor;;
Sales;Sales Enablement Specialist ;Karolina;Nowak;Karolina Nowak;Female;February 20, 1998;CD234568;Karolina.Nowak@inalogy.net; +40 74 56 78 9012;ZZ01 YZAB 1234 5678 9012 3458; Calea Victoriei 1; Bucharest;10111;Romania;Hodžovo námestie 2979/1;Bratislava;870 01;Slovakia;Romania;Romania;Part-time;;
Sales;Customer Success Manager ;Lucia;Hrušková;Lucia Hrušková;Female;March 10, 1982;EF890124;Lucia.Hrušková@inalogy.net; +34 67 89 01 23;ZZ12 ABCD 3456 7890 1234 5681; Calle de la Rosa 10; Madrid;28001;Spain;Hodžovo námestie 2979/1;Bratislava;871 01;Slovakia;Spain;Spain;Contractor;;
Sales;Customer Success Manager ;Alessandro;Conti;Alessandro Conti;Male;October 5, 1991;GH456790;Alessandro.Conti@inalogy.net; +33 67 45 67 89;ZZ34 EFGH 5678 9012 3456 7893; 25 Rue de la Liberté; Paris;75001;France;Hodžovo námestie 2979/1;Bratislava;872 01;Slovakia;France;France;Part-time;;
Sales;Renewals Specialist ;Dominik;Bača;Dominik Bača;Male;July 18, 1979;AB567892;Dominik.Bača@inalogy.net; +49 151 23 45 678;ZZ56 IJKL 7890 1234 5678 9015; Hauptstraße 1; Berlin;10115;Germany;Hodžovo námestie 2979/1;Bratislava;873 01;Slovakia;Germany;Germany;Employee;;
Sales;Renewals Specialist ;Martina;Kovačević;Martina Kovačević;Female;December 7, 1987;CD123458;Martina.Kovačević@inalogy.net; +44 74 12 34 5678;ZZ78 MNOP 9012 3456 7890 1237; 10 Downing Street; London;EC1A;United Kingdom;Hodžovo námestie 2979/1;Bratislava;874 01;Slovakia;United Kingdom;United Kingdom;Contractor;;
Sales;Sales Administrators ;Daniel;Weber;Daniel Weber;Male;September 23, 1995;EF789014;Daniel.Weber@inalogy.net; +39 32 45 67 890;ZZ90 QRST 1234 5678 9012 3459; Via Roma 123; Rome;100;Italy;Hodžovo námestie 2979/1;Bratislava;875 01;Slovakia;Italy;Italy;Employee;;
Sales;Sales Coordinator ;Matteo;Costa;Matteo Costa;Male;June 14, 1986;GH234569;Matteo.Costa@inalogy.net; +31 6 78 90 1714;ZZ23 UVWX 3456 7890 1234 5681; Herengracht 123; Amsterdam;1011;Netherlands;Hodžovo námestie 2979/1;Bratislava;876 01;Slovakia;Netherlands;Netherlands;Part-time;;
Sales;Sales Coordinator ;Julia;Schmidt;Julia Schmidt;Female;January 29, 1994;IJ890125;Julia.Schmidt@inalogy.net; +46 70 12 34 5748;ZZ45 YZAB 5678 9012 3456 7893; Drottninggatan 1; Stockholm;10005;Sweden;Hodžovo námestie 2979/1;Bratislava;877 01;Slovakia;Sweden;Sweden;Employee;;
Engineering;Chief Technology Officer (CTO) ;Jakub;Novák;Jakub Novák;Male;August 4, 1978;KL345680;Jakub.Novák@inalogy.net; +351 91 23 45 148;ZZ67 CDEF 7890 1234 5678 9015; Rua da Liberdade 100; Lisbon;1000;Portugal;Hodžovo námestie 2979/1;Bratislava;878 01;Slovakia;Portugal;Portugal;Employee;;
Engineering;Vice President of Engineering;Marek;Novotný;Marek Novotný;Male;May 19, 1983;MN901236;Marek.Novotný@inalogy.net; +41 76 89 03 634;ZZ89 GHIJ 9012 3456 7890 1237; Bahnhofstrasse 1; Zurich;8000;Switzerland;Hodžovo námestie 2979/1;Bratislava;879 01;Slovakia;Switzerland;Switzerland;Employee;;
Engineering QA;Engineering Director Quality Assurance ;Tomáš;Svoboda;Tomáš Svoboda;Male;November 12, 2000;OP456791;Tomáš.Svoboda@inalogy.net; +32 478 90 12 14;ZZ01 KLMN 1234 5678 9012 3459; Rue de la Loi 10; Brussels;1000;Belgium;Hodžovo námestie 2979/1;Bratislava;880 01;Slovakia;Belgium;Belgium;Employee;;
Engineering QA;Engineering Director Quality Assurance ;Pawel;Kowalczyk;Pawel Kowalczyk;Male;April 6, 1981;QR012347;Pawel.Kowalczyk@inalogy.net; +43 66 12 34 467;ZZ23 OPQR 3456 7890 1234 5681; Stephansplatz 2; Vienna;1010;Austria;Hodžovo námestie 2979/1;Bratislava;881 01;Slovakia;Austria;Austria;Employee;;
Engineering QA;Quality Assurance (QA) Manager;Magdalena;Adamowicz;Magdalena Adamowicz;Female;February 15, 1990;ST678903;Magdalena.Adamowicz@inalogy.net; +47 40 12 34 467;ZZ45 STUV 5678 9012 3456 7893; Karl Johans gate 2; Oslo;10;Norway;Hodžovo námestie 2979/1;Bratislava;882 01;Slovakia;Norway;Norway;Contractor;;
Engineering QA;Quality Assurance (QA) Manager;Peter;Hruška;Peter Hruška;Male;July 31, 1976;IJ012345;Peter.Hruška@inalogy.net; +45 28 12 34 99;ZZ67 WXYZ 7890 1234 5678 9015; Strøget 2; Copenhagen;1000;Denmark;Hodžovo námestie 2979/1;Bratislava;883 01;Slovakia;Denmark;Denmark;Part-time;;
Engineering QA;QA Engineer;Krzysztof;Wójcik;Krzysztof Wójcik;Male;December 17, 1984;UV567892;Krzysztof.Wójcik@inalogy.net; +358 45 67 89 042;ZZ89 ABCD 9012 3456 7890 1237; Esplanadi 2; Helsinki;100;Finland;Hodžovo námestie 2979/1;Bratislava;884 01;Slovakia;Finland;Finland;Employee;;
Engineering QA;QA Engineer;Jozef;Varga;Jozef Varga;Male;October 9, 1997;WX123458;Jozef.Varga@inalogy.net; +353 87 65 43 250;ZZ01 EFGH 1234 5678 9012 3459; O'Connell Street 2; Dublin;D01;Ireland;Hodžovo námestie 2979/1;Bratislava;885 01;Slovakia;Ireland;Ireland;Part-time;;
Engineering SD;Engineering Director Software Development;Michał;Kowalski;Michał Kowalski;Male;March 28, 1977;YZ789014;Michał.Kowalski@inalogy.net; +30 69 87 65 4381;ZZ23 IJKL 3456 7890 1234 5681; Λεωφόρος Βασιλίσσης Σοφίας 2; Athens;101;Greece;Hodžovo námestie 2979/1;Bratislava;886 01;Slovakia;Greece;Greece;Employee;;
Engineering SD;Engineering Director Software Development ;Martin;Tóth;Martin Tóth;Male;June 6, 1992;AB234569;Martin.Tóth@inalogy.net; +48 56 78 90 183;ZZ45 MNOP 5678 9012 3456 7893; ul. Nowy Świat 2; Warsaw;00-001;Poland;Hodžovo námestie 2979/1;Bratislava;887 01;Slovakia;Poland;Poland;Part-time;;
Engineering SD;Software Development Manager;Patrycja;Zając;Patrycja Zając;Female;January 22, 1989;CD890125;Patrycja.Zając@inalogy.net; +420 72 34 56 889;ZZ67 QRST 7890 1234 5678 9015; Na Příkopě 2; Prague;10000;Czech Republic;Hodžovo námestie 2979/1;Bratislava;888 01;Slovakia;Czech Republic;Czech Republic;Contractor;;
Engineering SD;Software Development Manager;Pavol;Kováč;Pavol Kováč;Male;August 27, 1998;EF345680;Pavol.Kováč@inalogy.net; +36 20 12 34 767;ZZ89 UVWX 9012 3456 7890 1237; Andrássy út 2; Budapest;1011;Hungary;Hodžovo námestie 2979/1;Bratislava;889 01;Slovakia;Hungary;Hungary;Part-time;;
Engineering SD;Project Manager;Katarína;Svobodová;Katarína Svobodová;Female;May 11, 1975;GH901236;Katarína.Svobodová@inalogy.net; +40 74 56 78 9712;ZZ01 YZAB 1234 5678 9012 3459; Calea Victoriei 2; Bucharest;10111;Romania;Hodžovo námestie 2979/1;Bratislava;890 01;Slovakia;Romania;Romania;Contractor;;
